Town,DischargeVolume,DischargeCount
EDGARTOWN,0.0,0.0
ERVING,0.0,0.0
ESSEX,0.0,0.0
EVERETT,0.0,0.0
FAIRHAVEN,511.35847,318.0
FALL RIVER,2911.184432,2526.0
FALMOUTH,0.0,0.0
FITCHBURG,48.486702,667.0
FLORIDA,0.0,0.0
FOXBOROUGH,0.0,0.0
FRAMINGHAM,0.0,0.0
FRANKLIN,0.0,0.0
FREETOWN,0.0,0.0
GARDNER,0.0,0.0
GEORGETOWN,0.0,0.0
GILL,0.298068,28.0
GLOUCESTER,0.939,32.0
GOSNOLD,0.0,0.0
GRAFTON,0.0,0.0
GRANBY,0.0,0.0
GREENFIELD,0.68608,76.0
GROTON,0.0,0.0
GROVELAND,0.0,0.0
HADLEY,0.45005,2.0
HALIFAX,0.0,0.0
HAMILTON,0.0,0.0
HAMPDEN,0.0,0.0
HANCOCK,0.0,0.0
HANOVER,1.0,1.0
HANSON,0.0,0.0
HARDWICK,0.0,0.0
HARWICH,0.0,0.0
HATFIELD,0.45,1.0
HAVERHILL,192.268531,1239.0
HAWLEY,0.0,0.0
HEATH,0.0,0.0
HINGHAM,0.0,0.0
HINSDALE,0.0,0.0
HOLBROOK,0.0,0.0
HOLDEN,0.0,0.0
HOLLAND,0.0,0.0
HOLLISTON,0.0,0.0
HOLYOKE,1271.722458,1922.0
HOPEDALE,0.0,0.0
HOPKINTON,0.0,0.0
HUBBARDSTON,0.0,0.0
HUDSON,0.0,0.0
HULL,0.0,0.0
HUNTINGTON,0.0,0.0
IPSWICH,0.0,0.0
KINGSTON,0.0,0.0
LAKEVILLE,0.0,0.0
LANCASTER,0.0,0.0
LANESBOROUGH,0.0,0.0
LAWRENCE,311.6068,150.0
LEE,0.0,0.0
LEICESTER,0.0,0.0
LENOX,0.0,0.0
LEOMINSTER,80.66550000000001,22.0
LEVERETT,0.0,0.0
LEXINGTON,0.0,0.0
LEYDEN,0.0,0.0
LITTLETON,0.0,0.0
LONGMEADOW,0.204,7.0
LOWELL,7134.662,1598.0
LUDLOW,10.66,76.0
LUNENBURG,0.006,1.0
LYNN,476.942816,612.0
LYNNFIELD,0.0,0.0
MALDEN,0.0,0.0
MANCHESTER,0.0,0.0
MANSFIELD,0.0,0.0
MARBLEHEAD,0.0,0.0
MARION,0.0,0.0
MARLBOROUGH,0.0,0.0
MARSHFIELD,0.0,0.0
MASHPEE,0.0,0.0
MATTAPOISETT,0.0,0.0
MAYNARD,0.0,0.0
MEDFIELD,0.0,0.0
MEDFORD,37.78,20.0
MEDWAY,0.0,0.0
MELROSE,0.0,0.0
MENDON,0.0,0.0
MERRIMAC,0.0,0.0
METHUEN,7.706100000000001,6.0
MIDDLEBOROUGH,0.0,0.0
MIDDLEFIELD,0.0,0.0
MILFORD,0.0,0.0
MILLBURY,0.0,0.0
MILLVILLE,0.0,0.0
MILTON,0.0,0.0
MONSON,0.0,0.0
MONTAGUE,0.984148,104.0
MONTEREY,0.0,0.0
MOUNT WASHINGTON,0.0,0.0
NAHANT,0.0,0.0
NANTUCKET,0.0,0.0
NATICK,0.0,0.0
NEEDHAM,0.0,0.0
NEW ASHFORD,0.0,0.0
NEW BEDFORD,3823.52896,3258.0
NEW BRAINTREE,0.0,0.0
NEW MARLBOROUGH,0.0,0.0
NEW SALEM,0.0,0.0
NEWBURY,0.0,0.0
NEWBURYPORT,0.0,0.0
NEWTON,0.0,0.0
NORFOLK,0.0,0.0
NORTH ADAMS,0.0,0.0
NORTH ANDOVER,53.1924,21.0
NORTH ATTLEBOROUGH,0.0,0.0
NORTH BROOKFIELD,0.0,0.0
NORTHAMPTON,5e-05,1.0
NORTHBOROUGH,0.0,0.0
NORTHBRIDGE,0.0,0.0
NORTHFIELD,0.0,0.0
NORTON,0.0,0.0
NORWELL,0.0,0.0
NORWOOD,0.0,0.0
OAK BLUFFS,0.0,0.0
OAKHAM,0.0,0.0
ORANGE,0.0,0.0
ORLEANS,0.0,0.0
OTIS,0.0,0.0
OXFORD,0.0,0.0
PALMER,0.0,0.0
PAXTON,0.0,0.0
PEABODY,0.0,0.0
PEMBROKE,0.0,0.0
PEPPERELL,0.0,0.0
PERU,0.0,0.0
PITTSFIELD,0.0,0.0
PLAINFIELD,0.0,0.0
PLYMOUTH,0.0,0.0
PLYMPTON,0.0,0.0
PRINCETON,0.0,0.0
PROVINCETOWN,0.0,0.0
QUINCY,0.0,0.0
RANDOLPH,0.0,0.0
RAYNHAM,0.0,0.0
READING,0.0,0.0
REHOBOTH,0.0,0.0
REVERE,0.572,10.0
RICHMOND,0.0,0.0
ROCHESTER,0.0,0.0
ROCKLAND,3.0,3.0
ROCKPORT,0.0,0.0
ROWE,0.0,0.0
ROWLEY,0.0,0.0
SALEM,0.0,0.0
SALISBURY,0.0,0.0
SANDISFIELD,0.0,0.0
SANDWICH,0.0,0.0
SAUGUS,8.605317,22.0
SAVOY,0.0,0.0
SCITUATE,0.0,0.0
SEEKONK,0.0,0.0
SHARON,0.0,0.0
SHEFFIELD,0.0,0.0
SHELBURNE,0.0,0.0
SHERBORN,0.0,0.0
SHIRLEY,0.0,0.0
SHREWSBURY,0.0,0.0
SHUTESBURY,0.0,0.0
SOMERSET,542.746733,572.0
SOMERVILLE,58.246,45.0
SOUTH HADLEY,83.845158,198.0
SOUTHAMPTON,0.0,0.0
SOUTHBOROUGH,0.0,0.0
SOUTHBRIDGE,0.0,0.0
SOUTHWICK,0.0,0.0
SPENCER,0.0,0.0
SPRINGFIELD,1965.574652,2486.0
STERLING,0.0,0.0
STOCKBRIDGE,0.0,0.0
STONEHAM,0.0,0.0
STOUGHTON,0.0,0.0
STOW,0.0,0.0
STURBRIDGE,0.0,0.0
SUDBURY,0.0,0.0
SUNDERLAND,0.0,0.0
SUTTON,0.0,0.0
SWAMPSCOTT,0.0,0.0
SWANSEA,0.0,0.0
TAUNTON,0.0,0.0
TEWKSBURY,0.0,0.0
TISBURY,0.0,0.0
TOPSFIELD,0.0,0.0
TOWNSEND,0.0,0.0
TRURO,0.0,0.0
TYNGSBOROUGH,0.0,0.0
TYRINGHAM,0.0,0.0
UPTON,0.0,0.0
UXBRIDGE,0.0,0.0
WAKEFIELD,0.0,0.0
WALES,0.0,0.0
WALPOLE,0.0,0.0
WALTHAM,0.0,0.0
WARE,0.0,0.0
WAREHAM,0.0,0.0
WARREN,0.0,0.0
WARWICK,0.0,0.0
WASHINGTON,0.0,0.0
WATERTOWN,0.0,0.0
WAYLAND,0.0,0.0
WEBSTER,0.0,0.0
WELLESLEY,0.0,0.0
WELLFLEET,0.0,0.0
WENDELL,0.0,0.0
WENHAM,0.0,0.0
WEST BOYLSTON,0.0,0.0
WEST BRIDGEWATER,0.0,0.0
WEST BROOKFIELD,0.0,0.0
WEST NEWBURY,0.0,0.0
WEST SPRINGFIELD,593.025685,548.0
WEST STOCKBRIDGE,0.0,0.0
WEST TISBURY,0.0,0.0
WESTBOROUGH,0.0,0.0
WESTFIELD,0.0,0.0
WESTFORD,0.0,0.0
WESTHAMPTON,0.0,0.0
WESTMINSTER,0.0,0.0
WESTON,0.0,0.0
WESTPORT,0.0,0.0
WESTWOOD,0.0,0.0
WEYMOUTH,0.0,0.0
WHATELY,0.0,0.0
WHITMAN,0.0,0.0
WILBRAHAM,0.0,0.0
WILLIAMSTOWN,0.0,0.0
WILMINGTON,0.0,0.0
WINCHESTER,0.0,0.0
WINDSOR,0.0,0.0
WINTHROP,0.0,0.0
WOBURN,0.0,0.0
WORCESTER,856.6728099999999,224.0
WRENTHAM,0.0,0.0
YARMOUTH,0.0,0.0
[UNKNOWN],1141.030208,939.0
