,year,lobbyist_name,entity_name,salary,entity_name_norm
20,2005,Michael J. Daly,Michael J. Daly Associates,15000.0,MICHAEL J DALY
21,2005,John D O'Brien,O'Brien and Associates,48000.0,O BRIEN
22,2005,Christopher J Greeley,"Commonwealth Group, The",0.0,COMMONWEALTH GROUP
23,2005,Richard J Hayes,Richard J. Hayes Consulting,60000.0,RICHARD J HAYES CONSULTING
24,2005,John P. Burke,Burke Strategies,92000.0,BURKE STRATEGIES
25,2005,Joseph A Ricca,Dewey Square Group,140000.0,DEWEY SQUARE GROUP
26,2005,Thomas P McShane,Dewey Square Group,72000.0,DEWEY SQUARE GROUP
27,2005,Paul E Caron,"Caron Associates, Paul E.",183271.54,CARON PAUL E
28,2005,Paul M. Pezzella,Paul M. Pezzella Group,0.0,PAUL M PEZZELLA GROUP
29,2005,"Theodore J. Aliexo, Jr.","Aleixo Law Offices, P.C.",0.0,ALEIXO LAW OFFICES P C
30,2005,James P. Hurrell,James P. Hurrell Lobbying Consulting,210000.0,JAMES P HURRELL LOBBYING CONSULTING
