Town,MINORPCT,LOWINCPCT,LINGISOPCT
CHARLTON,0.08113781881148316,0.11873791795444526,0.0019501013783982367
CHATHAM,0.04897772339273727,0.16659613215532498,0.0
CHELMSFORD,0.18546767184958224,0.08771242595091847,0.01854185654682542
CHELSEA,0.7998919927908096,0.4318491023054641,0.26013115203819526
CHESHIRE,0.07061362944064138,0.13228492134165898,0.0
CHICOPEE,0.30016435352136595,0.30841494916579615,0.05412715158299854
CHILMARK,0.040358744,0.066869301,0.026923077000000004
CLARKSBURG,0.07542857172914286,0.17767768611199997,0.0
CLINTON,0.23918499912667945,0.23833388128451208,0.04464476063014912
COLRAIN,0.046116505,0.202603743,0.0
CONCORD,0.16055519693021306,0.058869252886378315,0.009295918980245321
CONWAY,0.029233315,0.131593559,0.0
CUMMINGTON,0.042051282,0.25948718,0.0
DALTON,0.05427942113813719,0.1731396128941158,0.010559526850062933
DANVERS,0.12439008525255352,0.11734310426380846,0.012166848756099146
DARTMOUTH,0.13253480327743625,0.15103726979277082,0.03148950954734647
DEDHAM,0.2014238728546984,0.14087111440913444,0.028102384453224532
DEERFIELD,0.09214145383045187,0.150012357635167,0.0
DENNIS,0.10792416143114107,0.2057784433496076,0.0049289125067713034
DIGHTON,0.07584655766774959,0.12498733167687118,0.019027072484068475
DOVER,0.22921615216016286,0.02364470752969121,0.013285772587716321
DRACUT,0.16676968722904564,0.15384319048371248,0.012770880244096922
DUDLEY,0.1299248117780451,0.316456044682406,0.015010866958796993
DUNSTABLE,0.0647076286224399,0.04969841533392698,0.0
DUXBURY,0.04195910880248703,0.0805549164244736,0.001785646170277693
EAST BRIDGEWATER,0.15942234200014158,0.16285775372278072,0.022000841749398273
EAST LONGMEADOW,0.1370682289116929,0.16683752007121935,0.009282698606127182
EASTHAM,0.09096612294562945,0.16967688223462984,0.010233046039523212
EASTHAMPTON,0.10745933069587356,0.21617414246587754,0.0161761439316228
EASTON,0.18194842399544617,0.08899192757168439,0.005003563966946377
EDGARTOWN,0.18036978767899295,0.2174376324653816,0.04678587951239182
ERVING,0.097491039,0.265129683,0.015177066
ESSEX,0.014153511031573217,0.1872329873489385,0.007117995342950463
EVERETT,0.6133895974584894,0.3049432114731402,0.23495687139732585
FAIRHAVEN,0.07550257135289076,0.20080325958859283,0.018363538516596542
FALL RIVER,0.28074767280026663,0.4002934685248771,0.11665092617055982
FALMOUTH,0.10515788439964587,0.18329303374627012,0.013190623724497494
FITCHBURG,0.34668819698141484,0.3163349109589605,0.04198287313932729
FLORIDA,0.025542784,0.19140625,0.0
FOXBOROUGH,0.2301078205472226,0.19698510255493382,0.027393624101815204
FRAMINGHAM,0.43800522583751117,0.22486987873836453,0.13039499567032742
FRANKLIN,0.11093914889637707,0.0653447346516356,0.015148456984382695
FREETOWN,0.04869809984306826,0.13606388648796622,0.009474563295847994
GARDNER,0.18243848992319953,0.30648434793350926,0.01119886966704851
