2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,State
8430621.0,8492671.0,8552643.0,8601402.0,8634561.0,8651974.0,8661679.0,8677885.0,8711090.0,8755602.0,8799446.0,8828117.0,8844942.0,8856972.0,8864525.0,8867949.0,8870827.0,8885525.0,8886025.0,8882190.0,9272794.0,9270541.0,9295227.0,9379642.0,9500851.0,New Jersey
1821204.0,1831690.0,1855309.0,1877574.0,1903808.0,1932274.0,1962137.0,1990070.0,2010662.0,2036802.0,2064552.0,2080450.0,2087309.0,2092273.0,2089568.0,2089291.0,2091630.0,2091784.0,2092741.0,2096829.0,2118606.0,2117333.0,2113868.0,2121164.0,2130256.0,New Mexico
19001780.0,19082838.0,19137800.0,19175939.0,19171567.0,19132610.0,19104631.0,19132335.0,19212436.0,19307066.0,19399878.0,19499241.0,19572932.0,19624447.0,19651049.0,19654666.0,19633428.0,19589572.0,19530351.0,19453561.0,20105171.0,19848276.0,19703747.0,19737367.0,19867248.0,New York
8081614.0,8210122.0,8326201.0,8422501.0,8553152.0,8705407.0,8917270.0,9118037.0,9309449.0,9449566.0,9574323.0,9657592.0,9749476.0,9843336.0,9932887.0,10031646.0,10154788.0,10268233.0,10381615.0,10488084.0,10449652.0,10564320.0,10710793.0,10881189.0,11046024.0,North Carolina
642023.0,639062.0,638168.0,638817.0,644705.0,646089.0,649422.0,652822.0,657569.0,664968.0,674715.0,685225.0,701176.0,722036.0,737401.0,754066.0,754434.0,754942.0,758080.0,762062.0,779563.0,777966.0,781057.0,789047.0,796568.0,North Dakota
11363543.0,11387404.0,11407889.0,11434788.0,11452251.0,11463320.0,11481213.0,11500468.0,11515391.0,11528896.0,11539336.0,11544663.0,11548923.0,11576684.0,11602700.0,11617527.0,11634370.0,11659650.0,11676341.0,11689100.0,11798905.0,11767344.0,11777874.0,11824034.0,11883304.0,Ohio
3454365.0,3467100.0,3489080.0,3504892.0,3525233.0,3548597.0,3594090.0,3634349.0,3668976.0,3717572.0,3759944.0,3788379.0,3818814.0,3853214.0,3878187.0,3909500.0,3926331.0,3931316.0,3940235.0,3956971.0,3965415.0,3992238.0,4026229.0,4063882.0,4095393.0,Oklahoma
3429708.0,3467937.0,3513424.0,3547376.0,3569463.0,3613202.0,3670883.0,3722417.0,3768748.0,3808600.0,3837491.0,3872036.0,3899001.0,3922468.0,3963244.0,4015792.0,4089976.0,4143625.0,4181886.0,4217737.0,4243779.0,4254280.0,4247372.0,4253653.0,4272371.0,Oregon
12284173.0,12298970.0,12331031.0,12374658.0,12410722.0,12449990.0,12510809.0,12563937.0,12612285.0,12666858.0,12711160.0,12745815.0,12767118.0,12776309.0,12788313.0,12784826.0,12782275.0,12787641.0,12800922.0,12801989.0,12996143.0,13015571.0,12984990.0,13017721.0,13078751.0,Pennsylvania
1050268.0,1057142.0,1065995.0,1071342.0,1074579.0,1067916.0,1063096.0,1057315.0,1055003.0,1053646.0,1053959.0,1053649.0,1054621.0,1055081.0,1055936.0,1056065.0,1056770.0,1055673.0,1058287.0,1059361.0,1096530.0,1097246.0,1099498.0,1103429.0,1112308.0,Rhode Island
4024223.0,4064995.0,4107795.0,4150297.0,4210921.0,4270150.0,4357847.0,4444110.0,4528996.0,4589872.0,4635649.0,4671994.0,4717354.0,4764080.0,4823617.0,4891938.0,4957968.0,5021268.0,5084156.0,5148714.0,5132249.0,5194274.0,5287935.0,5387830.0,5478831.0,South Carolina
755844.0,757972.0,760020.0,763729.0,770396.0,775493.0,783033.0,791623.0,799124.0,807067.0,816166.0,823579.0,833566.0,842316.0,849129.0,853988.0,862996.0,872868.0,878698.0,884659.0,887948.0,896492.0,909723.0,918305.0,924669.0,South Dakota
5703719.0,5750789.0,5795918.0,5847812.0,5910809.0,5991057.0,6088766.0,6175727.0,6247411.0,6306019.0,6355311.0,6399291.0,6453898.0,6494340.0,6541223.0,6591170.0,6646010.0,6708799.0,6771631.0,6829174.0,6927904.0,6965740.0,7062217.0,7148304.0,7227750.0,Tennessee
20944499.0,21319622.0,21690325.0,22030931.0,22394023.0,22778123.0,23359580.0,23831983.0,24309039.0,24801761.0,25241971.0,25645629.0,26084481.0,26480266.0,26964333.0,27470056.0,27914410.0,28295273.0,28628666.0,28995881.0,29239570.0,29570351.0,30113488.0,30727890.0,31290831.0,Texas
2244502.0,2283715.0,2324815.0,2360137.0,2401580.0,2457719.0,2525507.0,2597746.0,2663029.0,2723421.0,2775332.0,2814384.0,2853375.0,2897640.0,2936879.0,2981835.0,3041868.0,3101042.0,3153550.0,3205958.0,3284077.0,3339738.0,3391011.0,3443222.0,3503613.0,Utah
609618.0,612223.0,615442.0,617858.0,619920.0,621215.0,622892.0,623481.0,624151.0,624817.0,625879.0,627049.0,626090.0,626210.0,625214.0,625216.0,623657.0,624344.0,624358.0,623989.0,642977.0,647210.0,648142.0,648708.0,648493.0,Vermont
7105817.0,7198362.0,7286873.0,7366977.0,7475575.0,7577105.0,7673725.0,7751000.0,7833496.0,7925937.0,8023699.0,8101155.0,8185080.0,8252427.0,8310993.0,8361808.0,8410106.0,8463587.0,8501286.0,8535519.0,8637615.0,8658910.0,8683414.0,8734685.0,8811195.0,Virginia
5910512.0,5985722.0,6052349.0,6104115.0,6178645.0,6257305.0,6370753.0,6461587.0,6562231.0,6667426.0,6742830.0,6826627.0,6897058.0,6963985.0,7054655.0,7163657.0,7294771.0,7423362.0,7523869.0,7614893.0,7727209.0,7743760.0,7794123.0,7857320.0,7958180.0,Washington
1807021.0,1801481.0,1805414.0,1812295.0,1816438.0,1820492.0,1827912.0,1834052.0,1840310.0,1847775.0,1854239.0,1856301.0,1856872.0,1853914.0,1849489.0,1842050.0,1831023.0,1817004.0,1804291.0,1792147.0,1791646.0,1785618.0,1774122.0,1770495.0,1769979.0,West Virginia
5373999.0,5406835.0,5445162.0,5479203.0,5514026.0,5546166.0,5577655.0,5610775.0,5640996.0,5669264.0,5690475.0,5705288.0,5719960.0,5736754.0,5751525.0,5760940.0,5772628.0,5790186.0,5807406.0,5822434.0,5897375.0,5881608.0,5903975.0,5930405.0,5960975.0,Wisconsin
494300.0,494657.0,500017.0,503453.0,509106.0,514157.0,522667.0,534876.0,546043.0,559851.0,564487.0,567299.0,576305.0,582122.0,582531.0,585613.0,584215.0,578931.0,577601.0,578759.0,577681.0,579636.0,581978.0,585067.0,587618.0,Wyoming
3810605.0,3818774.0,3823701.0,3826095.0,3826878.0,3821362.0,3805214.0,3782995.0,3760866.0,3740410.0,3721525.0,3678732.0,3634488.0,3593077.0,3534874.0,3473232.0,3406672.0,3325286.0,3193354.0,3193694.0,3281590.0,3262711.0,3220137.0,3203792.0,3203295.0,Puerto Rico
