Year,PWSName,ContaminantGroup,RaworFinished,Result
1991,EAST BROOKFIELD WATER DEPARTMENT,VOC,F,1
1991,EAST CHELMSFORD WATER DISTRICT,VOC,F,5
1991,EAST NORTHFIELD WATER CO,VOC,F,5
1991,EASTHAMPTON WATER DEPT,VOC,F,2
1991,EDGARTOWN WATER DEPARTMENT,VOC,F,4
1991,ENDLESS COAST HOTEL,VOC,F,1
1991,ESSEX WATER DEPT.,VOC,F,6
1991,EVENTIDE MOTEL AND COTTAGES,VOC,F,1
1991,FAIRHAVEN WATER DEPT,THM,F,4
1991,FAIRHAVEN WATER DEPT,VOC,F,4
1991,FALL RIVER WATER DEPARTMENT,THM,F,4
1991,FALMOUTH WATER DEPT,THM,F,1
1991,FALMOUTH WATER DEPT,VOC,F,5
1991,FALMOUTH WATER DEPT,VOC,R,1
1991,FOUR MILE VILLAGE,INORG,F,1
1991,FOXBORO WATER DEPARTMENT,VOC,F,2
1991,FRAMINGHAM WATER DEPT. (MWRA),THM,F,8
1991,FRAMINGHAM WATER DEPT. (MWRA),VOC,F,2
1991,GARDNER WATER DEPARTMENT,THM,F,1
1991,GILBERTVILLE WATER DISTRICT,VOC,F,1
1991,GLOUCESTER PUBLIC UTILITY DIVISION,THM,F,4
1991,GRANVILLE VILLAGE SCHOOL,VOC,F,1
1991,GREAT BARRINGTON FIRE DIST,VOC,F,3
1991,GREENFIELD WATER DEPARTMENT,VOC,F,1
