,entity_name,year,client_name,amount,purpose,entity_name_norm,client_name_norm
83,Inta Z. Hall,2005,Brain Injury Association of Massachusetts,5280.0,,INTA Z HALL,BRAIN INJURY ASSOCIATION OF MASSACHUSETTS
84,Melvin E. Benson,2005,"Senior whole health, LLC",22875.0,,MELVIN E BENSON,SENIOR WHOLE HEALTH
85,Anna C Lucas,2005,Human Rights Campaign,1075.66,,ANNA C LUCAS,HUMAN RIGHTS CAMPAIGN
86,Michael J Katzman,2005,Blue Cross Blue Shield of Massachusetts,9825.0,,MICHAEL J KATZMAN,BLUE CROSS BLUE SHIELD OF MASSACHUSETTS
87,David E Floreen,2005,Mass. Bankers Association,30000.0,,DAVID E FLOREEN,MASS BANKERS ASSOCIATION
88,Robert T. Kilduff,2005,Professional Firefighters of Mass.,9304.48,,ROBERT T KILDUFF,PROFESSIONAL FIREFIGHTERS OF MASS
89,Maria O. Cahill,2005,Abbott Laboratories,25750.0,,MARIA O CAHILL,ABBOTT LABORATORIES
90,Maura Finigan,2005,Mass. Public Interest Research Group (MASSPIRG),1392.0,,MAURA FINIGAN,MASS PUBLIC INTEREST RESEARCH GROUP MASSPIRG
91,Eric Bourassa,2005,Mass. Public Interest Research Group (MASSPIRG),6108.0,,ERIC BOURASSA,MASS PUBLIC INTEREST RESEARCH GROUP MASSPIRG
92,Ronald A Crews,2005,Mass. Family Institute,1272.0,,RONALD A CREWS,MASS FAMILY INSTITUTE
93,Ted Jankowski,2005,Greater Boston Real Estate Board,0.0,,TED JANKOWSKI,GREATER BOSTON REAL ESTATE BOARD
94,William F Allan,2005,Disability Policy Consortium,3000.0,,WILLIAM F ALLAN,DISABILITY POLICY CONSORTIUM
95,Brian Burke,2005,Microsoft Corporation,9200.0,,BRIAN BURKE,MICROSOFT
96,M. Laurie Cammisa,2005,Children's Hospital,30000.0,,M LAURIE CAMMISA,CHILDREN S HOSPITAL
97,Paula W Gold,2005,Plymouth Rock Assurance Corporation,20000.0,,PAULA W GOLD,PLYMOUTH ROCK ASSURANCE
98,Kathleen O'Loughlin Dias,2005,"Mass. State Automobile Dealers Assoc., Inc",11000.0,,KATHLEEN O LOUGHLIN DIAS,MASS STATE AUTOMOBILE DEALERS ASSOC
99,Sana Fadel,2005,Rosie's Place,39240.0,,SANA FADEL,ROSIE S PLACE
