Town,MINORPCT,LOWINCPCT,LINGISOPCT
BRAINTREE,0.17940658447368607,0.15481382235341296,0.0373117229984977
BREWSTER,0.04237631792376538,0.16066028518695935,0.0
BRIDGEWATER,0.16235363212574208,0.20635661509029865,0.016577791023976635
BRIMFIELD,0.010825439783488499,0.19375069407063003,0.006228386708770583
BROCKTON,0.5920009365588177,0.39439244313855043,0.11120287138263796
BROOKFIELD,0.06020558002934174,0.22359154784588103,0.0
BROOKLINE,0.2872218088344264,0.19755569550771773,0.06305724887338615
BUCKLAND,0.01502504173622611,0.1825264329439516,0.0
BURLINGTON,0.2117642439234839,0.11963708381765345,0.03688464033426708
CAMBRIDGE,0.37013047184852294,0.25594826344722366,0.05496787324818036
CANTON,0.19020470461476663,0.1441971146233096,0.02133951671012403
CARLISLE,0.14012613322855696,0.03330705557747051,0.012765290567076076
CARVER,0.05786196159835761,0.18485393099443861,0.0
CHARLTON,0.029436246689373464,0.1314782350432204,0.011422375429965471
CHATHAM,0.07508978126019472,0.20433911561997894,0.00343543169204698
CHELMSFORD,0.13148430531980512,0.09923314981469172,0.013971344124709763
CHELSEA,0.7603029185692827,0.48015953211900186,0.29370261739889103
CHESHIRE,0.014705882352922403,0.19980455020838486,0.0
CHESTER,0.0575679172057,0.219275549806,0.0180505415162
CHESTERFIELD,0.028662420382200002,0.170382165605,0.0
CHICOPEE,0.24215996867546827,0.3466891879215544,0.048315911564257095
CHILMARK,0.075,0.38689217759,0.0194805194805
CLARKSBURG,0.010585305105841375,0.2126333315282503,0.004674435153889079
CLINTON,0.20288482552626946,0.2029576746556862,0.014293441802451679
COHASSET,0.02594272753049152,0.08933728171042356,0.0
COLRAIN,0.0598086124402,0.2192,0.0
CONCORD,0.15977375330815788,0.09822663735582525,0.00557795676443155
CONWAY,0.0426247896803,0.122936824132,0.0
CUMMINGTON,0.0474090407938,0.327433628319,0.0142180094787
DALTON,0.049783872410217554,0.28885501028297306,0.006448036258731853
DANVERS,0.08241324921140886,0.14685485998901548,0.004974919198733157
DARTMOUTH,0.1208166579664636,0.18166594605412598,0.0368717508077114
DEDHAM,0.19762924199168616,0.1313566440418437,0.01666412699606575
DEERFIELD,0.07613412228803486,0.22216352584516352,0.0
DENNIS,0.0720759915887018,0.2645733641951913,0.009503071359368044
DIGHTON,0.036560033236398275,0.17509604834066378,0.003016512249974491
DOUGLAS,0.08186456400741987,0.11902153499420971,0.004304084073807143
DOVER,0.1560027519780151,0.019607843137261077,0.0037223582808406435
DRACUT,0.14056237985069894,0.18079083180440422,0.01293175267145476
DUDLEY,0.06278766825883184,0.22525062199109153,0.02874036621223216
DUNSTABLE,0.06491175590788531,0.08944062219561583,0.009130964209048199
DUXBURY,0.029303264425411764,0.08630316214532126,0.0019278413932811026
EAST BRIDGEWATER,0.05196131844179807,0.12416997245493042,0.005240431425321983
EAST BROOKFIELD,0.00583090379009,0.155490767736,0.0
EAST LONGMEADOW,0.11081975401129335,0.17044506608526472,0.025671641365802227
EASTHAM,0.050677253619807454,0.15390004670695603,0.024764116244187718
EASTHAMPTON,0.13524283935244244,0.2206302944895322,0.014100136524266862
EASTON,0.10965526014500677,0.10921234641811647,0.014276057462921177
EDGARTOWN,0.06426369456960047,0.20664299519693194,0.014665753810221237
ERVING,0.0842627013631,0.20656980416899998,0.0
ESSEX,0.029933481153009252,0.13192904656334883,0.011291546283233287
EVERETT,0.48576962515666666,0.3835226568420609,0.16766871688476528
FAIRHAVEN,0.08580882905920345,0.21715726924920062,0.026190113649799632
FALL RIVER,0.1986100293570943,0.4536332721069573,0.09540530911223384
FALMOUTH,0.11992823626827495,0.21758330346824814,0.012352375505491653
FITCHBURG,0.34175275567192387,0.393468346480095,0.05350799400897143
