,cso_id,latitude,longitude,DischargeVolume,Year,permiteeClass,permiteeName,permiteeId,municipality,location,waterBody,waterBodyDescription,DischargeCount,GEOID
51,CHE003,42.386807,-71.04088,0.028,2023.0,CSO,CITY OF CHELSEA,MA0101877,CHELSEA,END OF WINNISIMMIT ST,MYSTIC RIVER,,1,250251603002
52,CHE004,42.386653,-71.039293,0.11174,2024.0,CSO,CITY OF CHELSEA,MA0101877,CHELSEA,PEARL ST,MYSTIC RIVER,,13,250250509013
53,CHE008,42.39471,-71.019155,1.660842,2022.0,CSO,CITY OF CHELSEA,MA0101877,CHELSEA,NORTHERN EDGE OF GULF BULK OIL STORAGE,CHELSEA RIVER,,22,250251605022
54,CHI03,42.204716,-72.589048,98.279335,2025.0,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,POWER LINE ROW S OF JAMES ST,CONNECTICUT R.,,61,250138113013
55,CHI04,42.191872,-72.603187,6.805256,2025.0,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,RIVERVIEW PUMP STATION,CONNECTICUT R.,,32,250138111011
56,CHI05,42.18982,-72.606807,8.468345,2024.0,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,LESLIE ST PUMP STATION,CONNECTICUT R.,,58,250138111011
57,CHI07,42.171157,-72.626901,17.667698,2022.0,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,JONES FERRY RD PUMP STATION,CONNECTICUT R.,,63,250138111022
58,CHI08,42.170113,-72.626931,0.0,2022.0,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,EASEMENT OF JONES FERRY RD PUMP STATION,CONNECTICUT R.,,1,250138111022
59,CHI09,42.154761,-72.625969,2.724807,2024.0,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,PADEREWSKI ST PUMP STATION,CONNECTICUT R.,,27,250138111023
60,CHI24,42.143265,-72.616091,69.454067,2024.0,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,FRONT AND DEPOT ST. AREA,CONNECTICUT R.,,60,250138109011
61,CHI26,42.149238,-72.599493,0.087113,2023.0,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,BELL & FRONT ST.,CHICOPEE R.,,20,250138108001
62,CHI27,42.149417,-72.596798,21.503542,2023.0,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,"PARKING LOT, TOPORS GARAGE & FRONT ST",CHICOPEE R.,,58,250138108001
63,CHI32B,42.159749,-72.582694,2.36377,2023.0,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,MAIN STREET WEST OF DEADY MEMORIAL BRIDGE,CHICOPEE R.,,56,250138108002
64,CHI34,42.160897,-72.586359,4.023005,2022.0,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,GRATTAN ST & HEARTHSTONE TER,CHICOPEE R.,,50,250138110004
65,CHI37,42.158615,-72.575833,1.005625,2023.0,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,EAST MAIN ST #227,CHICOPEE R.,,39,250138107001
66,CHI42,42.19321,-72.584598,0.465397,2023.0,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,ROBERTS POND,WILLIMANSETT BK,,6,250138113014
67,FAL002,41.679993,-71.19482,93.734064,2025.0,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,MT HOPE AVE,MOUNT HOPE BAY,,149,250056403001
68,FAL003,41.684952,-71.189877,7.467397,2022.0,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,CHARLES ST,MOUNT HOPE BAY,,16,250056404003
69,FAL004,41.686407,-71.188184,26.34557,2024.0,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,BIRCH ST,MOUNT HOPE BAY,,86,250056404003
70,FAL005,41.690336,-71.185249,0.466616,2025.0,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,RIVERVIEW,MOUNT HOPE BAY,,4,250056405004
71,FAL006,41.696658,-71.178289,8.964395,2023.0,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,MIDDLE ST,MOUNT HOPE BAY,,22,250056405004
72,FAL007,41.699565,-71.172644,0.806132,2023.0,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,WILLIAM ST,MOUNT HOPE BAY,,8,250056405004
73,FAL008,41.701428,-71.170559,3.137554,2023.0,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,FERRY ST,MOUNT HOPE BAY,,30,250056405004
74,FAL009,41.704029,-71.160203,0.950316,2023.0,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,CENTRAL ST AT INTERSECTION W VIADUCT,QUEQUECHAN RIVER,,16,250056410001
75,FAL010,41.71189,-71.158988,193.597604,2024.0,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,CITY PIER,TAUNTON RIVER,,274,250056420003
76,FAL011,41.717913,-71.159136,283.863827,2025.0,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,PRESIDENT AVE,TAUNTON RIVER,,279,250056420002
77,FAL013,41.726459,-71.148766,348.587175,2024.0,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,COVE ST,TAUNTON RIVER,,247,250056421001
78,FAL014,41.73327,-71.140707,81.12971,2025.0,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,Alton St.,TAUNTON RIVER,,137,250056421001
79,FAL019,41.701589,-71.162728,28.562647,2023.0,CSO,CITY OF FALL RIVER,MA0100382,FALL RIVER,CANAL ST,QUEQUECHAN RIVER,,33,250056410001
80,FIT004,42.581083,-71.821953,0.171,2023.0,CSO,CITY OF FITCHBURG,MA0100986,FITCHBURG,OAK HILL RD. @ CLEGHORN ST.,NASHUA RIVER,,4,250277103001
81,FIT010,42.587007,-71.808857,0.966061,2023.0,CSO,CITY OF FITCHBURG,MA0100986,FITCHBURG,MAIN ST. @ RIVER ST.,NASHUA RIVER,,14,250277108003
82,FIT032,42.585697,-71.806321,2.324962,2022.0,CSO,CITY OF FITCHBURG,MA0100986,FITCHBURG,843 MAIN ST. @ POST OFFICE,NASHUA RIVER,,77,250277108003
83,FIT041,42.562556,-71.772891,0.316,2023.0,CSO,CITY OF FITCHBURG,MA0100986,FITCHBURG,BENSON RD. NEAR FALULAH ST.,ABANDONED FALULAH CANAL,,3,250277101002
84,FIT045A,42.581822,-71.798441,0.665586,2022.0,CSO,CITY OF FITCHBURG,MA0100986,FITCHBURG,MAIN ST @ PUTNAM ST. (A),PUNCH BROOK CULVERT @ BOULDER DRIVE VIA PUTNAM ST.,,13,250277107002
85,FIT045B,42.581822,-71.798389,8.709001,2023.0,CSO,CITY OF FITCHBURG,MA0100986,FITCHBURG,MAIN ST @ PUTNAM ST (B),PUNCH BROOK CULVERT@BOULDER ST VIA MAIN ST,,69,250277107002
86,FIT064,42.571099,-71.784339,13.296268,2022.0,CSO,CITY OF FITCHBURG,MA0100986,FITCHBURG,CHAMBER BEHIND 672 WATER ST.,NASHUA RIVER,,39,250277101003
87,FIT076,42.57429,-71.79102,0.22,2022.0,CSO,CITY OF FITCHBURG,MA0100986,FITCHBURG,BIRCH ST @ HEYWOOD ST,BIRCH BROOK @ HEYWOOD ST,,10,250277102004
88,FIT083,42.581848,-71.798421,0.130478,2022.0,CSO,CITY OF FITCHBURG,MA0100986,FITCHBURG,MAIN ST. @ PRICHARD ST.,PUNCH BROOK CULVERT @ MAIN ST.,,12,250277107002
89,GLO004,42.611018,-70.664209,0.153,2024.0,CSO,CITY OF GLOUCESTER,MA0100625,GLOUCESTER,ROGERS STREET,HARBOR COVE,,4,250092215002
90,GLO005,42.613237,-70.657316,0.123,2024.0,CSO,CITY OF GLOUCESTER,MA0100625,GLOUCESTER,109 ROGERS ST,INNER HARBOR,,3,250092215002
91,GLO006A,42.61637,-70.650943,0.18,2024.0,CSO,CITY OF GLOUCESTER,MA0100625,GLOUCESTER,EAST MAIN STREET,INNER HARBOR,,10,250092214003
92,GLSD002,42.704034,-71.15023,38.4927,2023.0,CSO,GREATER LAWRENCE SANITARY DISTRICT,MA0100447,LAWRENCE,MERRIMACK STREET,MERRIMACK RIVER,,17,250092516001
93,GLSD004,42.706106,-71.146873,173.591,2024.0,CSO,GREATER LAWRENCE SANITARY DISTRICT,MA0100447,LAWRENCE,ISLAND STREET,MERRIMACK RIVER,,30,250092501001
94,GLSD005,42.704338,-71.159916,2.949596,2024.0,CSO,GREATER LAWRENCE SANITARY DISTRICT,MA0100447,LAWRENCE,CANAL STREET CASEY BRIDGE,MERRIMACK RIVER,,5,250092501001
95,GLSD006,42.7093,-71.151468,6.126247,2023.0,CSO,GREATER LAWRENCE SANITARY DISTRICT,MA0100447,LAWRENCE,GENERAL STREET GENERAL HOSPITAL,SPICKETT HARBOR,,10,250092509002
96,HAV013,42.769997,-71.064229,27.576203,2023.0,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL, LOWER SIPHON BUTTONWOOD AVE,MERRIMACK RIVER,,17,250092603012
97,HAV019,42.774283,-71.076107,0.667646,2023.0,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL, MAIN STREET NORTH,MERRIMACK RIVER,,3,250092602002
98,HAV021A,42.77304,-71.081938,26.852272,2023.0,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL, MIDDLE SIPHON ESSEX ST,MERRIMACK RIVER,,31,250092601002
99,HAV021B,-71.08292,42.774563,0.093729,2023.0,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL,021B (Locke Street 12 siphon),LITTLE RIVER,,2,250010105002
100,HAV021F,42.775169,-71.08493,17.361077,2023.0,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL,LOCKE STREET CENTER BARRELL,LITTLE RIVER,,112,250092601003
101,HAV021H,42.777457,-71.088301,9.571944,2024.0,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL,WINTER AND HALE,LITTLE RIVER,,76,250092607001
102,HAV024,42.766809,-71.09336,17.317798,2023.0,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL, VARNUM ST UPPER SIPHON,MERRIMACK RIVER,,15,250092608002
103,HAV032,42.770152,-71.085417,1.868382,2024.0,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL, BRADFORD AVE,MERRIMACK RIVER,,14,250092610002
104,HAV034,42.772602,-71.078221,17.737465,2023.0,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL, MIDDLESEX STREET,MERRIMACK RIVER,,37,250092610002
105,HAV038,42.777271,-71.088371,0.017612,2023.0,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL,HIGH AND LAFAYETTE SQ,LITTLE RIVER,,4,250092608002
106,HAV039,42.769144,-71.065457,0.363247,2023.0,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL,SOUTH WEBSTER,MERRIMACK RIVER,,16,250092611011
107,HAV040,42.774515,-71.074239,0.954165,2023.0,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL,BETHANY AVE,MERRIMACK RIVER,,35,250092602002
108,HAV041,42.773933,-71.071544,0.49229,2024.0,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL,CHESTNUT ST,MERRIMACK RIVER,,33,250092602002
109,HOL016,42.203926,-72.60776,1.850684,2023.0,CSO,CITY OF HOLYOKE,MA0101630,HOLYOKE,FRONT ST./APPLETON ST.,CONNECTICUT R.,,45,250138116002
110,HOL018,42.214004,-72.608673,211.675397,2022.0,CSO,CITY OF HOLYOKE,MA0101630,HOLYOKE,WALNUT ST.,CONNECTICUT R.,,211,250138117001
111,HOL019,42.219601,-72.613101,0.275412,2024.0,CSO,CITY OF HOLYOKE,MA0101630,HOLYOKE,YALE ST.,CONNECTICUT R.,,88,250138119001
112,HOL02,42.167524,-72.630165,0.620762,2023.0,CSO,CITY OF HOLYOKE,MA0101630,HOLYOKE,PROVIDENCE HOSPITAL,CONNECTICUT R.,,90,250138121032
113,HOL020,42.225812,-72.6176,42.484355,2024.0,CSO,CITY OF HOLYOKE,MA0101630,HOLYOKE,CLEVELAND ST.,CONNECTICUT R.,,190,250138119001
114,HOL021,42.229172,-72.623898,55.678258,2023.0,CSO,CITY OF HOLYOKE,MA0101630,HOLYOKE,RIVER TERRACE,CONNECTICUT R.,,165,250138119001
115,HOL023,42.221142,-72.623744,2.454447,2024.0,CSO,CITY OF HOLYOKE,MA0101630,HOLYOKE,JEFFERSON ST.,DINGLE BK TO CONNECTICUT R.,,101,250138119002
116,HOL07,42.186232,-72.623722,0.89834,2022.0,CSO,CITY OF HOLYOKE,MA0101630,HOLYOKE,NORTHAMPTON ST/GLEN ST.,CONNECTICUT R.,,84,250138121031
117,HOL08,42.188287,-72.618318,44.510841,2023.0,CSO,CITY OF HOLYOKE,MA0101630,HOLYOKE,SPRINGDALE PARK,CONNECTICUT R.,,145,250138121031
118,HOL09,42.190085,-72.612381,572.308,2024.0,CSO,CITY OF HOLYOKE,MA0101630,HOLYOKE,BERKSHIRE ST.,CONNECTICUT R.,,114,250138121031
119,LOW002,42.64643,-71.334308,55.29,2024.0,CSO,LOWELL REGIONAL WASTEWATER UTILITY,MA0100633,LOWELL,WALKER STREET,MERRIMACK RIVER,,27,250173107002
120,LOW007,42.659463,-71.318725,67.833,2023.0,CSO,LOWELL REGIONAL WASTEWATER UTILITY,MA0100633,LOWELL,BEAVER BROOK,BEAVER BROOK,,53,250173105001
121,LOW008,42.652007,-71.310842,411.08,2023.0,CSO,LOWELL REGIONAL WASTEWATER UTILITY,MA0100633,LOWELL,WEST STREET,MERRIMACK RIVER,,70,250173104002
122,LOW011,42.647614,-71.301158,0.74,2024.0,CSO,LOWELL REGIONAL WASTEWATER UTILITY,MA0100633,LOWELL,READ STREET,MERRIMACK RIVER,,13,250173102003
123,LOW020,42.643101,-71.304911,199.24,2024.0,CSO,LOWELL REGIONAL WASTEWATER UTILITY,MA0100633,LOWELL,WARREN STREET,CONCORD RIVER,,60,250173124001
124,LOW027,42.650916,-71.311421,71.82002,2024.0,CSO,LOWELL REGIONAL WASTEWATER UTILITY,MA0100633,LOWELL,TILDEN STREET,MERRIMACK RIVER,,70,250173104002
125,LOW030-1,42.645468,-71.288574,250.89438,2022.0,CSO,LOWELL REGIONAL WASTEWATER UTILITY,MA0100633,LOWELL,BARASFORD AVE,MERRIMACK RIVER,,52,250173125011
126,LOW030-2,42.645304,-71.288916,403.622,2022.0,CSO,LOWELL REGIONAL WASTEWATER UTILITY,MA0100633,LOWELL,MERRIMACK STATION,MERIMACK RIVER,,71,250173125011
127,LYNN003,42.45786,-70.975228,32.154829,2022.0,CSO,LYNN WATER & SEWER COMMISSION,MA0100552,LYNN,SUMMER STREET@SAUGUS RIVER,SAUGUS RIVER,,93,250092057005
128,LYNN004,42.459741,-70.944738,54.685673,2024.0,CSO,LYNN WATER & SEWER COMMISSION,MA0100552,LYNN,NW BANK OF BROAD SOUND @254 LYNWAY@PLEASANT ST,LYNN HARBOR,,73,250092069003
129,LYNN005,42.459786,-70.944642,89.541251,2025.0,CSO,LYNN WATER & SEWER COMMISSION,MA0100552,LYNN,180 LYNNWAY,LYNN HARBOR,,73,250092069003
130,LYNN006,42.466826,-70.922035,1.335464,2023.0,CSO,LYNN WATER & SEWER COMMISSION,MA0100552,LYNN,JUST NORTH INTER OF LYNN SHORE RD & KIMBALL RD,NAHANT BAY,,7,250092022004
131,MON001,42.580132,-72.573203,0.417753,2023.0,CSO,TOWN OF MONTAGUE,MA0100137,MONTAGUE,GREENFIELD RD NEAR WPCF,CONNECTICUT R.,,41,250110407022
132,MON002,42.606275,-72.564999,0.75121,2024.0,CSO,TOWN OF MONTAGUE,MA0100137,MONTAGUE,OFF POWER ST ADJACENT TO POWER CANAL,POWER CANAL CONNECTICUT RIVER,,63,250110407011
133,MWR003,42.397102,-71.144062,3.32,2024.0,CSO,MASSACHUSETTS WATER RESOURCES AUTHORITY,MA0103284,CAMBRIDGE,165 FT WEST OF ALEWIFE STATION ACCESS RD,LITTLE RIVER,,4,250173561003
134,MWR010,42.351762,-71.106243,0.0,2023.0,CSO,MASSACHUSETTS WATER RESOURCES AUTHORITY,MA0103284,BOSTON,NORTH OF STORROW DR@MARY'S ST,CHARLES RIVER BASIN,,1,250259815011
135,MWR018,42.352763,-71.087414,1.028,2024.0,CSO,MASSACHUSETTS WATER RESOURCES AUTHORITY,MA0103284,BOSTON,NORTH OF STORROW DR @ HEREFORD ST,CHARLES RIVER BASIN,,5,250259815011
136,MWR019,42.355018,-71.080919,0.442,2024.0,CSO,MASSACHUSETTS WATER RESOURCES AUTHORITY,MA0103284,BOSTON,NORTH OF STORROW DR BTW EXETER & DARTMOUTH,CHARLES RIVER BASIN,,5,250259815011
137,MWR020,42.356744,-71.076136,0.411,2023.0,CSO,MASSACHUSETTS WATER RESOURCES AUTHORITY,MA0103284,BOSTON,715 SW OF HATCH MEMORIAL SHELL,CHARLES RIVER BASIN,,5,250259815011
138,MWR023,42.351704,-71.092425,1.352,2024.0,CSO,MASSACHUSETTS WATER RESOURCES AUTHORITY,MA0103284,BOSTON,STORROW DRIVE @MUDDY RIVER,CHARLES RIVER BASIN,,9,250259815011
139,MWR201,42.352593,-71.111151,119.85,2024.0,CSO,MASSACHUSETTS WATER RESOURCES AUTHORITY,MA0103284,BOSTON,125 FT WEST OF BU BRIDGE,CHARLES RIVER BASIN,,14,250259815011
