Id,Town,Program,FacilityId,FacilityName,InspectionType,InspectionDate
1480355,BOURNE,WATER SUPPLY/DRINKING WATER,6198,BOURNE WATER DISTRICT,Site Visit But Not Full Inspection,1999-07-01
1480356,KINGSTON,WATER SUPPLY/DRINKING WATER,6231,KINGSTON WATER DEPARTMENT,Site Visit But Not Full Inspection,1999-07-01
1480359,MARSHFIELD,WATER SUPPLY/DRINKING WATER,6237,MARSHFIELD WATER DEPARTMENT,Site Visit But Not Full Inspection,1999-07-01
1480360,BARNSTABLE,WATER SUPPLY/DRINKING WATER,6197,"HYANNIS WATER SYSTEM, TOWN OF BARNSTABLE",Site Visit But Not Full Inspection,1999-07-01
1480361,DENNIS,WATER SUPPLY/DRINKING WATER,6212,DENNIS WATER DISTRICT,Site Visit But Not Full Inspection,1999-08-01
1480362,FALMOUTH,WATER SUPPLY/DRINKING WATER,6221,FALMOUTH WATER DEPT,Site Visit But Not Full Inspection,1999-08-01
1480404,DARTMOUTH,REGULATED ACTIVITY(S),377228,TEGRA MEDICAL,Unannounced Multimedia Inspection,2002-12-04
1480429,YARMOUTH,WATER SUPPLY/DRINKING WATER,6288,YARMOUTH WATER DEPARTMENT,Site Visit But Not Full Inspection,1999-08-01
1480458,MEDFORD,REGULATED ACTIVITY(S),404008,MEDFORD DEPT OF PUBLIC WORKS,BWR/BRP Unannounced Inspection Related Activity,2002-12-03
1480461,CAMBRIDGE,REGULATED ACTIVITY(S),158265,CAMBRIDGE DPW,BWR/BRP Unannounced Inspection Related Activity,2002-12-03
1480465,BOSTON,REGULATED ACTIVITY(S),161959,VA HEALTHCARE SYSTEM JAMAICA PLAIN,BWR/BRP Unannounced Inspection Related Activity,2002-12-03
1480523,CHICOPEE,REGULATED ACTIVITY(S),291043,ELKS LANDFILL,Site Visit But Not Full Inspection,2002-12-03
1480525,CHICOPEE,REGULATED ACTIVITY(S),160971,ONDRICK MATERIALS AND RECYCLING LLC,Site Visit But Not Full Inspection,2002-11-22
1480527,PITTSFIELD,REGULATED ACTIVITY(S),172849,PITTSFIELD SOUTH LANDFILL,Announced Single-Media Inspection,2002-11-25
1480529,BUCKLAND,REGULATED ACTIVITY(S),172387,BUCKLAND LANDFILL & TRANSFER STATION,Unannounced Single-Media Inspection,2002-12-02
